V1,Participant,Word,Validity,Condition,Round
4,KRV,stab,1,Individual,1.0
5,KRV,tab,1,Individual,1.0
6,KRV,tabs,1,Individual,1.0
7,KRV,late,1,Individual,1.0
8,KRV,last,1,Individual,1.0
9,KRV,law,1,Individual,1.0
10,KRV,laws,1,Individual,1.0
11,KRV,blast,1,Individual,1.0
12,KRV,beast,1,Individual,1.0
13,KRV,best,1,Individual,1.0
14,KRV,west,1,Individual,1.0
15,KRV,wet,1,Individual,1.0
16,KRV,wets,1,Individual,1.0
17,KRV,bas,1,Individual,1.0
18,KRV,steal,1,Individual,1.0
19,KRV,least,1,Individual,1.0
20,KRV,tea,1,Individual,1.0
21,KRV,teas,1,Individual,1.0
22,KRV,seat,1,Individual,1.0
23,KRV,sweat,1,Individual,1.0
24,KRV,belt,1,Individual,1.0
25,KRV,belts,1,Individual,1.0
26,KRV,lab,1,Individual,1.0
27,KRV,labs,1,Individual,1.0
28,KRV,blast,1,Individual,1.0
29,KRV,saw,1,Individual,1.0
30,KRV,wast,1,Individual,1.0
31,KRV,waste,1,Individual,1.0
32,KRV,was,1,Individual,1.0
33,KRV,sale,1,Individual,1.0
34,KRV,eat,1,Individual,1.0
35,KRV,east,1,Individual,1.0
36,KRV,salt,1,Individual,1.0
37,KRV,blew,1,Individual,1.0
38,KRV,beast,1,Individual,1.0
39,KRV,tab,1,Individual,1.0
40,KRV,tabs,1,Individual,1.0
41,KRV,bet,1,Individual,1.0
42,KRV,bets,1,Individual,1.0
43,KRV,stab,1,Individual,1.0
0,Line,lab,1,Individual,1.0
1,Line,labs,1,Individual,1.0
2,Line,base,1,Individual,1.0
3,Line,was,1,Individual,1.0
4,Line,law,1,Individual,1.0
5,Line,laws,1,Individual,1.0
6,Line,salt,1,Individual,1.0
7,Line,bat,1,Individual,1.0
9,Line,set,1,Individual,1.0
10,Line,saw,1,Individual,1.0
11,Line,sew,1,Individual,1.0
12,Line,late,1,Individual,1.0
13,Line,waste,1,Individual,1.0
14,Line,bes,1,Individual,1.0
15,Line,let,1,Individual,1.0
16,Line,bet,1,Individual,1.0
17,Line,wet,1,Individual,1.0
18,Line,set,1,Individual,1.0
20,Line,west,1,Individual,1.0
21,Line,last,1,Individual,1.0
22,Line,awe,1,Individual,1.0
23,Line,tale,1,Individual,1.0
24,Line,tales,1,Individual,1.0
25,Line,last,1,Individual,1.0
28,Line,blew,1,Individual,1.0
29,Line,blast,1,Individual,1.0
30,Line,alt,1,Individual,1.0
31,Line,ate,1,Individual,1.0
33,Line,aw,1,Individual,1.0
0,Mads,salt,1,Individual,1.0
1,Mads,tab,1,Individual,1.0
2,Mads,bale,1,Individual,1.0
3,Mads,stale,1,Individual,1.0
4,Mads,table,1,Individual,1.0
5,Mads,tables,1,Individual,1.0
6,Mads,wat,1,Individual,1.0
7,Mads,la,1,Individual,1.0
8,Mads,law,1,Individual,1.0
9,Mads,laws,1,Individual,1.0
10,Mads,slate,1,Individual,1.0
12,Mads,tesla,1,Individual,1.0
13,Mads,sale,1,Individual,1.0
15,Mads,late,1,Individual,1.0
16,Mads,lat,1,Individual,1.0
17,Mads,able,1,Individual,1.0
18,Mads,sweat,1,Individual,1.0
19,Mads,tea,1,Individual,1.0
20,Mads,ate,1,Individual,1.0
21,Mads,ale,1,Individual,1.0
22,Mads,teas,1,Individual,1.0
23,Mads,be,1,Individual,1.0
25,Mads,awe,1,Individual,1.0
0,Marie Louise Moeller,west,1,Individual,1.0
1,Marie Louise Moeller,lets,1,Individual,1.0
2,Marie Louise Moeller,blast,1,Individual,1.0
3,Marie Louise Moeller,set,1,Individual,1.0
4,Marie Louise Moeller,let,1,Individual,1.0
5,Marie Louise Moeller,bet,1,Individual,1.0
6,Marie Louise Moeller,bat,1,Individual,1.0
7,Marie Louise Moeller,wet,1,Individual,1.0
8,Marie Louise Moeller,tab,1,Individual,1.0
9,Marie Louise Moeller,wat,1,Individual,1.0
10,Marie Louise Moeller,bets,1,Individual,1.0
14,Marie Louise Moeller,bals,1,Individual,1.0
16,Marie Louise Moeller,sal,1,Individual,1.0
17,Marie Louise Moeller,sel,1,Individual,1.0
19,Marie Louise Moeller,blew,1,Individual,1.0
20,Marie Louise Moeller,belt,1,Individual,1.0
21,Marie Louise Moeller,swat,1,Individual,1.0
23,Marie Louise Moeller,swab,1,Individual,1.0
24,Marie Louise Moeller,web,1,Individual,1.0
25,Marie Louise Moeller,sweat,1,Individual,1.0
26,Marie Louise Moeller,bats,1,Individual,1.0
27,Marie Louise Moeller,tabs,1,Individual,1.0
30,Marie Louise Moeller,belts,1,Individual,1.0
0,Mathilde,table,1,Individual,1.0
2,Mathilde,tesla,1,Individual,1.0
3,Mathilde,west,1,Individual,1.0
5,Mathilde,sweat,1,Individual,1.0
6,Mathilde,seat,1,Individual,1.0
7,Mathilde,tea,1,Individual,1.0
8,Mathilde,belt,1,Individual,1.0
9,Mathilde,bet,1,Individual,1.0
10,Mathilde,was,1,Individual,1.0
11,Mathilde,wet,1,Individual,1.0
0,MHFA,wet,1,Individual,1.0
1,MHFA,lab,1,Individual,1.0
2,MHFA,sew,1,Individual,1.0
3,MHFA,bat,1,Individual,1.0
4,MHFA,tab,1,Individual,1.0
5,MHFA,law,1,Individual,1.0
6,MHFA,set,1,Individual,1.0
7,MHFA,seal,1,Individual,1.0
8,MHFA,sat,1,Individual,1.0
9,MHFA,late,1,Individual,1.0
10,MHFA,saw,1,Individual,1.0
11,MHFA,let,1,Individual,1.0
12,MHFA,lets,1,Individual,1.0
13,MHFA,bats,1,Individual,1.0
14,MHFA,tabs,1,Individual,1.0
15,MHFA,late,1,Individual,1.0
16,MHFA,labs,1,Individual,1.0
17,MHFA,teal,1,Individual,1.0
18,MHFA,tea,1,Individual,1.0
19,MHFA,teas,1,Individual,1.0
20,MHFA,best,1,Individual,1.0
21,MHFA,sale,1,Individual,1.0
22,MHFA,tales,1,Individual,1.0
23,MHFA,tale,1,Individual,1.0
24,MHFA,beat,1,Individual,1.0
25,MHFA,beats,1,Individual,1.0
26,MHFA,abs,1,Individual,1.0
27,MHFA,ale,1,Individual,1.0
28,MHFA,sat,1,Individual,1.0
29,MHFA,awe,1,Individual,1.0
30,MHFA,stew,1,Individual,1.0
31,MHFA,stab,1,Individual,1.0
32,MHFA,swab,1,Individual,1.0
33,MHFA,sweat,1,Individual,1.0
34,MHFA,stale,1,Individual,1.0
35,MHFA,blew,1,Individual,1.0
36,MHFA,blast,1,Individual,1.0
37,MHFA,swat,1,Individual,1.0
38,MHFA,laws,1,Individual,1.0
39,MHFA,base,1,Individual,1.0
40,MHFA,sale,1,Individual,1.0
41,MHFA,teal,1,Individual,1.0
42,MHFA,last,1,Individual,1.0
43,MHFA,waste,1,Individual,1.0
46,MHFA,table,1,Individual,1.0
47,MHFA,tables,1,Individual,1.0
48,MHFA,tales,1,Individual,1.0
49,MHFA,west,1,Individual,1.0
50,MHFA,least,1,Individual,1.0
52,MHFA,beast,1,Individual,1.0
53,MHFA,steal,1,Individual,1.0
0,MLP,late,1,Individual,1.0
1,MLP,west,1,Individual,1.0
2,MLP,lest,1,Individual,1.0
3,MLP,sat,1,Individual,1.0
4,MLP,bat,1,Individual,1.0
5,MLP,bats,1,Individual,1.0
6,MLP,was,1,Individual,1.0
7,MLP,bet,1,Individual,1.0
8,MLP,bets,1,Individual,1.0
9,MLP,law,1,Individual,1.0
10,MLP,laws,1,Individual,1.0
11,MLP,base,1,Individual,1.0
12,MLP,bale,1,Individual,1.0
13,MLP,atlas,1,Individual,1.0
14,MLP,bat,1,Individual,1.0
15,MLP,best,1,Individual,1.0
16,MLP,last,1,Individual,1.0
17,MLP,test,1,Individual,1.0
18,MLP,tabel,1,Individual,1.0
19,MLP,table,1,Individual,1.0
20,MLP,tesla,1,Individual,1.0
21,MLP,labs,1,Individual,1.0
22,MLP,lab,1,Individual,1.0
23,MLP,set,1,Individual,1.0
24,MLP,sets,1,Individual,1.0
25,MLP,salt,1,Individual,1.0
26,MLP,salts,1,Individual,1.0
27,MLP,able,1,Individual,1.0
28,MLP,awe,1,Individual,1.0
29,MLP,last,1,Individual,1.0
30,MLP,swat,1,Individual,1.0
0,1,sew,1,Individual,1.0
1,1,table,1,Individual,1.0
2,1,salt,1,Individual,1.0
3,1,be,1,Individual,1.0
4,1,tab,1,Individual,1.0
5,1,bal,1,Individual,1.0
6,1,bat,1,Individual,1.0
7,1,bas,1,Individual,1.0
8,1,saw,1,Individual,1.0
9,1,sat,1,Individual,1.0
10,1,sea,1,Individual,1.0
11,1,law,1,Individual,1.0
12,1,lab,1,Individual,1.0
13,1,west,1,Individual,1.0
14,1,able,1,Individual,1.0
15,1,stew,1,Individual,1.0
16,1,aw,1,Individual,1.0
17,1,awe,1,Individual,1.0
18,1,belt,1,Individual,1.0
19,1,at,1,Individual,1.0
20,1,ate,1,Individual,1.0
23,1,bate,1,Individual,1.0
24,1,sable,1,Individual,1.0
25,1,sat,1,Individual,1.0
26,1,lab,1,Individual,1.0
27,1,was,1,Individual,1.0
0,MSL,wale,1,Individual,1.0
1,MSL,wales,1,Individual,1.0
2,MSL,sale,1,Individual,1.0
3,MSL,salt,1,Individual,1.0
4,MSL,sew,1,Individual,1.0
5,MSL,west,1,Individual,1.0
6,MSL,belt,1,Individual,1.0
7,MSL,bas,1,Individual,1.0
8,MSL,base,1,Individual,1.0
9,MSL,last,1,Individual,1.0
10,MSL,law,1,Individual,1.0
11,MSL,laws,1,Individual,1.0
12,MSL,saw,1,Individual,1.0
14,MSL,waste,1,Individual,1.0
15,MSL,bat,1,Individual,1.0
16,MSL,lab,1,Individual,1.0
17,MSL,stale,1,Individual,1.0
18,MSL,steal,1,Individual,1.0
19,MSL,seal,1,Individual,1.0
20,MSL,wet,1,Individual,1.0
21,MSL,tesla,1,Individual,1.0
22,MSL,web,1,Individual,1.0
23,MSL,webs,1,Individual,1.0
24,MSL,set,1,Individual,1.0
25,MSL,was,1,Individual,1.0
26,MSL,tab,1,Individual,1.0
27,MSL,tabs,1,Individual,1.0
28,MSL,table,1,Individual,1.0
29,MSL,tables,1,Individual,1.0
30,MSL,late,1,Individual,1.0
31,MSL,slate,1,Individual,1.0
32,MSL,swat,1,Individual,1.0
33,MSL,stew,1,Individual,1.0
34,MSL,bet,1,Individual,1.0
35,MSL,bets,1,Individual,1.0
36,MSL,teal,1,Individual,1.0
37,MSL,swab,1,Individual,1.0
38,MSL,sab,1,Individual,1.0
39,MSL,stab,1,Individual,1.0
40,MSL,bale,1,Individual,1.0
41,MSL,bales,1,Individual,1.0
42,MSL,sweat,1,Individual,1.0
43,MSL,awe,1,Individual,1.0
44,MSL,awes,1,Individual,1.0
45,MSL,tales,1,Individual,1.0
48,MSL,sable,1,Individual,1.0
49,MSL,sat,1,Individual,1.0
50,MSL,seat,1,Individual,1.0
51,MSL,beats,1,Individual,1.0
52,MSL,beat,1,Individual,1.0
53,MSL,let,1,Individual,1.0
0,MW,sew,1,Individual,1.0
1,MW,saw,1,Individual,1.0
2,MW,set,1,Individual,1.0
3,MW,eat,1,Individual,1.0
4,MW,eats,1,Individual,1.0
5,MW,awe,1,Individual,1.0
6,MW,wet,1,Individual,1.0
7,MW,sweat,1,Individual,1.0
8,MW,swab,1,Individual,1.0
9,MW,swat,1,Individual,1.0
10,MW,set,1,Individual,1.0
11,MW,sat,1,Individual,1.0
12,MW,tea,1,Individual,1.0
13,MW,teal,1,Individual,1.0
14,MW,teas,1,Individual,1.0
15,MW,tab,1,Individual,1.0
16,MW,tabs,1,Individual,1.0
17,MW,bat,1,Individual,1.0
18,MW,bats,1,Individual,1.0
19,MW,beat,1,Individual,1.0
20,MW,beats,1,Individual,1.0
21,MW,lab,1,Individual,1.0
22,MW,labs,1,Individual,1.0
23,MW,let,1,Individual,1.0
24,MW,lets,1,Individual,1.0
25,MW,seat,1,Individual,1.0
26,MW,sea,1,Individual,1.0
27,MW,awe,1,Individual,1.0
28,MW,at,1,Individual,1.0
29,MW,abs,1,Individual,1.0
31,MW,seat,1,Individual,1.0
32,MW,seal,1,Individual,1.0
0,Oli,bat,1,Individual,1.0
1,Oli,tesla,1,Individual,1.0
2,Oli,west,1,Individual,1.0
3,Oli,ale,1,Individual,1.0
4,Oli,bale,1,Individual,1.0
5,Oli,sale,1,Individual,1.0
6,Oli,wale,1,Individual,1.0
7,Oli,east,1,Individual,1.0
9,Oli,table,1,Individual,1.0
10,Oli,sable,1,Individual,1.0
11,Oli,able,1,Individual,1.0
12,Oli,tab,1,Individual,1.0
13,Oli,tabs,1,Individual,1.0
14,Oli,table,1,Individual,1.0
15,Oli,tables,1,Individual,1.0
16,Oli,at,1,Individual,1.0
18,Oli,et,1,Individual,1.0
19,Oli,tea,1,Individual,1.0
20,Oli,was,1,Individual,1.0
21,Oli,waste,1,Individual,1.0
22,Oli,best,1,Individual,1.0
24,Oli,blast,1,Individual,1.0
25,Oli,lab,1,Individual,1.0
27,Oli,bas,1,Individual,1.0
28,Oli,blew,1,Individual,1.0
29,Oli,wet,1,Individual,1.0
31,Oli,wet,1,Individual,1.0
32,Oli,web,1,Individual,1.0
33,Oli,webs,1,Individual,1.0
34,Oli,last,1,Individual,1.0
35,Oli,blast,1,Individual,1.0
36,Oli,bat,1,Individual,1.0
37,Oli,bet,1,Individual,1.0
38,Oli,sweat,1,Individual,1.0
39,Oli,swat,1,Individual,1.0
43,Oli,tale,1,Individual,1.0
44,Oli,tales,1,Individual,1.0
45,Oli,late,1,Individual,1.0
49,Oli,least,1,Individual,1.0
50,Oli,beat,1,Individual,1.0
51,Oli,beast,1,Individual,1.0
0,RGH,late,1,Individual,1.0
1,RGH,bat,1,Individual,1.0
2,RGH,wet,1,Individual,1.0
3,RGH,sew,1,Individual,1.0
4,RGH,lab,1,Individual,1.0
5,RGH,labs,1,Individual,1.0
6,RGH,tab,1,Individual,1.0
7,RGH,tabs,1,Individual,1.0
8,RGH,law,1,Individual,1.0
9,RGH,laws,1,Individual,1.0
10,RGH,set,1,Individual,1.0
11,RGH,let,1,Individual,1.0
12,RGH,bawl,1,Individual,1.0
13,RGH,best,1,Individual,1.0
15,RGH,as,1,Individual,1.0
16,RGH,at,1,Individual,1.0
17,RGH,set,1,Individual,1.0
18,RGH,web,1,Individual,1.0
19,RGH,webs,1,Individual,1.0
20,RGH,let,1,Individual,1.0
21,RGH,lets,1,Individual,1.0
22,RGH,bet,1,Individual,1.0
23,RGH,bets,1,Individual,1.0
24,RGH,bats,1,Individual,1.0
25,RGH,was,1,Individual,1.0
26,RGH,saw,1,Individual,1.0
27,RGH,sat,1,Individual,1.0
28,RGH,bas,1,Individual,1.0
29,RGH,be,1,Individual,1.0
30,RGH,laws,1,Individual,1.0
31,RGH,tel,1,Individual,1.0
32,RGH,west,1,Individual,1.0
33,RGH,lest,1,Individual,1.0
34,RGH,last,1,Individual,1.0
35,RGH,bast,1,Individual,1.0
36,RGH,alt,1,Individual,1.0
38,RGH,abs,1,Individual,1.0
39,RGH,aw,1,Individual,1.0
40,RGH,awe,1,Individual,1.0
41,RGH,tesla,1,Individual,1.0
42,RGH,swab,1,Individual,1.0
43,RGH,swat,1,Individual,1.0
45,RGH,belt,1,Individual,1.0
46,RGH,belts,1,Individual,1.0
47,RGH,welt,1,Individual,1.0
48,RGH,salt,1,Individual,1.0
49,RGH,blew,1,Individual,1.0
0,Sebastian,west,1,Individual,1.0
1,Sebastian,bat,1,Individual,1.0
2,Sebastian,set,1,Individual,1.0
3,Sebastian,best,1,Individual,1.0
6,Sebastian,lab,1,Individual,1.0
7,Sebastian,bas,1,Individual,1.0
9,Sebastian,web,1,Individual,1.0
10,Sebastian,sale,1,Individual,1.0
11,Sebastian,tale,1,Individual,1.0
12,Sebastian,bale,1,Individual,1.0
13,Sebastian,wet,1,Individual,1.0
14,Sebastian,seal,1,Individual,1.0
15,Sebastian,table,1,Individual,1.0
16,Sebastian,tables,1,Individual,1.0
17,Sebastian,labs,1,Individual,1.0
19,Sebastian,bet,1,Individual,1.0
20,Sebastian,alt,1,Individual,1.0
0,SGT,west,1,Individual,1.0
1,SGT,lab,1,Individual,1.0
2,SGT,bale,1,Individual,1.0
3,SGT,tale,1,Individual,1.0
4,SGT,sale,1,Individual,1.0
5,SGT,base,1,Individual,1.0
7,SGT,sweat,1,Individual,1.0
8,SGT,let,1,Individual,1.0
9,SGT,tabs,1,Individual,1.0
11,SGT,best,1,Individual,1.0
12,SGT,last,1,Individual,1.0
13,SGT,steal,1,Individual,1.0
15,SGT,salt,1,Individual,1.0
16,SGT,slat,1,Individual,1.0
19,SGT,bat,1,Individual,1.0
20,SGT,least,1,Individual,1.0
0,Sim,last,1,Individual,1.0
1,Sim,sweat,1,Individual,1.0
2,Sim,lab,1,Individual,1.0
3,Sim,labs,1,Individual,1.0
7,Sim,blew,1,Individual,1.0
8,Sim,law,1,Individual,1.0
9,Sim,laws,1,Individual,1.0
10,Sim,blast,1,Individual,1.0
11,Sim,stab,1,Individual,1.0
12,Sim,west,1,Individual,1.0
13,Sim,stew,1,Individual,1.0
15,Sim,bat,1,Individual,1.0
16,Sim,bats,1,Individual,1.0
17,Sim,bet,1,Individual,1.0
18,Sim,bets,1,Individual,1.0
19,Sim,last,1,Individual,1.0
20,Sim,blew,1,Individual,1.0
21,Sim,sew,1,Individual,1.0
23,Sim,lase,1,Individual,1.0
24,Sim,set,1,Individual,1.0
25,Sim,sat,1,Individual,1.0
26,Sim,bas,1,Individual,1.0
27,Sim,law,1,Individual,1.0
28,Sim,tea,1,Individual,1.0
29,Sim,labs,1,Individual,1.0
30,Sim,set,1,Individual,1.0
34,Sim,let,1,Individual,1.0
35,Sim,lets,1,Individual,1.0
37,Sim,saw,1,Individual,1.0
38,Sim,wat,1,Individual,1.0
39,Sim,beat,1,Individual,1.0
40,Sim,beats,1,Individual,1.0
41,Sim,blew,1,Individual,1.0
0,soeren,west,1,Individual,1.0
1,soeren,sweat,1,Individual,1.0
2,soeren,base,1,Individual,1.0
3,soeren,tesla,1,Individual,1.0
